Technology,Material,n,mu,sigma,cv_fitted,ks_stat,ks_pval,ad_stat,ad_crit,rmse,fit_quality,mean_obs,std_obs,cv_obs,median_obs,q25_obs,q75_obs,iqr_obs,n_bin
CIGS,Molybdenum,2,2.3456739411145717,2.3456739411145717,15.627778865416076,0.3413447460685429,0.9332490989253873,0.2504824087501869,-0.242,0.2661651040882831,Poor,55.0,76.36753236814714,1.388500588511766,55.0,28.0,82.0,54.0,2
CIGS,Selenium,36,3.859576551140027,0.7577901535924403,0.8807899454084178,0.11116757530657012,0.723732201250329,0.5937375016969781,0.721,0.052953251603298154,Excellent,62.59055555555556,47.87031540344597,0.764816911729696,45.0,26.0,85.5,59.5,21-50
CIGS,Steel,2,10.93221331443024,0.0008936552870482117,0.0008936554654603254,0.34134474606865456,0.9332490989252241,0.2504824087501869,-0.242,0.26616510408844263,Poor,55950.0,70.71067811865476,0.0012638190905925784,55950.0,55925.0,55975.0,50.0,2
CSP,Cement,2,11.806818797421288,0.6223973994230949,0.6878328234382128,0.34134474606854326,0.9332490989253868,0.2504824087501869,-0.242,0.26616510408828314,Poor,161000.0,125865.00705120547,0.781770230131711,161000.0,116500.0,205500.0,89000.0,2
CSP,Copper,2,7.657566802195584,0.4133392865922345,0.43163878005285566,0.34134474606854265,0.9332490989253877,0.25048240875018735,-0.242,0.26616510408828303,Poor,2300.0,1272.7922061357856,0.5533879157112112,2300.0,1850.0,2750.0,900.0,2
CSP,Glass,2,11.691762687106136,0.0835270423315837,0.08367294148263267,0.3413447460685417,0.9332490989253891,0.2504824087501869,-0.242,0.2661651040882819,Poor,120000.0,14142.13562373095,0.11785113019775792,120000.0,115000.0,125000.0,10000.0,2
CSP,Manganese,2,8.124561956682362,0.5236594971402795,0.5616967327842208,0.34134474606854304,0.9332490989253871,0.25048240875018735,-0.242,0.2661651040882831,Poor,3850.0,2616.295090390226,0.6795571663351236,3850.0,2925.0,4775.0,1850.0,2
CSP,Nickel,2,7.197744520209291,0.35186464494524117,0.3630418284106875,0.341344746068543,0.9332490989253872,0.25048240875018735,-0.242,0.2661651040882832,Poor,1420.0,678.8225099390856,0.4780440210838631,1420.0,1180.0,1660.0,480.0,2
CSP,Silver,2,2.668769039850659,0.1038196823891222,0.10410006740319976,0.34134474606854315,0.933249098925387,0.25048240875018735,-0.242,0.2661651040882831,Poor,14.5,2.1213203435596424,0.1462979547282512,14.5,13.75,15.25,1.5,2
CSP,Steel,2,12.643807014207123,0.25541281188299525,0.25963549100012984,0.3413447460685436,0.9332490989253863,0.2504824087501869,-0.242,0.2661651040882827,Poor,320000.0,113137.0849898476,0.35355339059327373,320000.0,280000.0,360000.0,80000.0,2
CdTe,Aluminum,3,9.878106610064698,0.33465013987660325,0.3442418866922407,0.4269166055731903,0.5205417628221893,0.4877667358939841,-1.771,0.2563860221696418,Poor,20693.333333333332,9185.642782806946,0.4438938200454388,15390.0,15390.0,23345.0,7955.0,3
CdTe,Cadmium,40,4.184820345612563,0.7299853807948653,0.8389457649908544,0.19350698694791718,0.08706447194522493,1.342932601710288,0.726,0.07458419482375644,Fair,81.594,51.84110441210398,0.6353543693421573,78.0,52.25,87.5,35.25,21-50
CdTe,Cement,4,8.873176009815388,0.27618017672673517,0.28153127450166826,0.17512111109468254,0.9975766620462192,0.18612802279381757,1.799,0.13368148868867852,Good,7413.5,2352.7748865258372,0.31736357813796956,7147.5,6293.0,8268.0,1975.0,4-5
CdTe,Copper,9,7.632237955829456,1.6320878791998035,3.653688406562615,0.26918221048362434,0.4544144227788267,0.8408832151640535,0.693,0.11593461114786052,Good,4060.4299999999994,2975.464360835129,0.7327953839458209,5181.0,1000.0,7000.0,6000.0,6-10
CdTe,Glass,3,11.049925592627831,0.11787999157862934,0.11829068557329676,0.3554199803620632,0.7180337041056274,0.32882547238891924,-1.771,0.1803102725308592,Fair,63366.666666666664,8787.680771018788,0.13867986487667736,66700.0,60050.0,68350.0,8300.0,3
CdTe,Indium,3,2.7493330523588626,0.012010955996504744,0.012011389193855722,0.4269166055731868,0.5205417628221989,0.4877667358939841,-1.771,0.2563860221696398,Poor,15.633333333333333,0.23094010767585052,0.014772288337474447,15.5,15.5,15.7,0.1999999999999993,3
CdTe,Lead,2,2.066782637687691,0.012658903992144754,0.012659411149615168,0.341344746068547,0.9332490989253813,0.2504824087501869,-0.242,0.2661651040882846,Poor,7.9,0.14142135623730964,0.017901437498393624,7.9,7.85,7.95,0.10000000000000053,2
CdTe,Molybdenum,3,2.8694528097227763,2.519356661051667,23.87190789020941,0.42186262648838896,0.5343509029660274,0.4732998457461095,-1.771,0.2064129924831156,Fair,70.0,60.33862776033277,0.8619803965761824,100.5,50.5,104.75,54.25,3
CdTe,Steel,2,10.93221331443024,0.0008936552870482117,0.0008936554654603254,0.34134474606865456,0.9332490989252241,0.2504824087501869,-0.242,0.26616510408844263,Poor,55950.0,70.71067811865476,0.0012638190905925784,55950.0,55925.0,55975.0,50.0,2
CdTe,Tellurium,55,4.365432811800474,0.6822837299275072,0.7699532819549778,0.10399241893135597,0.5563152788658927,0.6799470130938232,0.739,0.043863501477953704,Excellent,98.88490909090909,77.62063590339322,0.7849593696044488,90.0,55.0,106.0,51.0,>50
Coal,Aluminum,4,5.913409875695934,0.35457595522323654,0.36601813083138324,0.28104578920051526,0.8270393919400854,0.2582782856678776,1.799,0.16374801113378135,Fair,394.75,168.93070571489758,0.42794352302697297,350.0,274.5,470.25,195.75,4-5
Coal,Cement,12,9.460307308201106,0.5142991777374536,0.5502582764643632,0.1812584353271698,0.76260559629855,0.22837037379382785,0.679,0.060325456924989564,Excellent,14525.0,7245.051326752125,0.4987987144063425,14121.0,9843.5,16899.5,7056.0,11-20
Coal,Copper,4,6.193855487660435,0.06427939726335101,0.064345852515116,0.22797025600870058,0.9568303632430145,0.19200834360248642,1.799,0.14953530128274645,Good,490.75,36.782015532956684,0.07495061748946853,485.5,466.75,509.5,42.75,4-5
Coal,Manganese,3,4.9440284205415415,0.25044684612970874,0.2544258844923164,0.3560503938462739,0.716307501780509,0.32987090119200646,-1.771,0.22785071859142797,Fair,145.0,47.148700936505136,0.3251634547345182,124.0,118.0,161.5,43.5,3
Coal,Nickel,3,2.2599739691574174,0.13345405107325492,0.13405046533592127,0.2919150064588681,0.9056901246246466,0.24702579803623426,-1.771,0.1679086233505554,Fair,9.666666666666666,1.5275252316519468,0.1580198515502014,10.0,9.0,10.5,1.5,3
Coal,Steel,3,10.861964462058419,0.13784702810989413,0.13850446334090444,0.23267960410938981,0.9861920752170688,0.19676423008185706,-1.771,0.18227104875100134,Fair,52655.0,8960.166014087015,0.17016742976140947,51340.0,47882.5,56770.0,8887.5,3
Coal CCS,Aluminum,4,5.913409875695934,0.35457595522323654,0.36601813083138324,0.28104578920051526,0.8270393919400854,0.2582782856678776,1.799,0.16374801113378135,Fair,394.75,168.93070571489758,0.42794352302697297,350.0,274.5,470.25,195.75,4-5
Coal CCS,Cement,12,9.797796734377222,0.5349912607642191,0.5756557435547359,0.14808868804850361,0.9207507947124449,0.22147817096242228,0.679,0.06568021797607496,Excellent,20696.5,11452.573950466729,0.553358004999238,17745.5,11368.5,25060.75,13692.25,11-20
Coal CCS,Copper,4,6.3759478744554015,0.0638855641094678,0.06395080465043305,0.22985630484630815,0.9535795420556991,0.19307832890290655,1.799,0.1497675373907511,Good,588.75,43.85107372307623,0.07448165388208278,582.5,560.0,611.25,51.25,4-5
Coal CCS,Manganese,3,4.9440284205415415,0.25044684612970874,0.2544258844923164,0.3560503938462739,0.716307501780509,0.32987090119200646,-1.771,0.22785071859142797,Fair,145.0,47.148700936505136,0.3251634547345182,124.0,118.0,161.5,43.5,3
Coal CCS,Nickel,3,2.2599739691574174,0.13345405107325492,0.13405046533592127,0.2919150064588681,0.9056901246246466,0.24702579803623426,-1.771,0.1679086233505554,Fair,9.666666666666666,1.5275252316519468,0.1580198515502014,10.0,9.0,10.5,1.5,3
Coal CCS,Steel,4,11.221708081402632,0.16411334064434982,0.1652245900343436,0.2267053938318377,0.9589127411820244,0.19348217681515045,1.799,0.1502226555350026,Fair,75764.75,14703.396600219057,0.19406645702941086,73122.5,66183.25,82704.0,16520.75,4-5
Gas,Aluminum,2,5.378099651383706,0.05997965753948975,0.060033643086683526,0.34134474606854237,0.9332490989253881,0.25048240875018735,-0.242,0.2661651040882825,Poor,217.0,18.384776310850235,0.08472247147857251,217.0,210.5,223.5,13.0,2
