material,technology,intensity_t_per_mw,total_capacity_mw,expected_demand_tonnes,pct_contribution
Cement,CDTE,7.4135,320092525.2,2373005935.5702,2.839363903380227
Cement,CIGS,7.4135,320092525.2,2373005935.5702,2.839363903380227
Cement,CSP,161.0,814369.8,131113537.8,0.15688079026416155
Cement,Coal,14.525,20447704.8,297002912.22,0.3553717820573598
Cement,Coal CCS,20.6965,3699702.5999999996,76570894.8609,0.09161908601181852
Cement,Gas,11.11825,186343867.3,2071817702.608225,2.478984275172674
Cement,Gas CCS,16.2165,11504504.7,186562800.46754998,0.22322728882420811
Cement,Geothermal,393.82462499999997,3521926.2,1387021264.992675,1.659607358754741
Cement,Hydro,1007.20975,47304464.4,47645517762.2079,57.00911289940284
Cement,NGCC,11.11825,186343867.3,2071817702.608225,2.478984275172674
Cement,NGGT,11.11825,66655908.3,741097052.456475,0.8867420802050282
Cement,Nuclear New,36.852888888888884,52384755.2,1930529562.8572447,2.30992930654771
Cement,Solar Distributed,7.705166666666667,42754248.3,329428608.85955,0.3941699793986459
Cement,offshore wind,0.181,23345283.4,4225496.295399999,0.0050559172546455295
Cement,onshore wind,54.09383333333333,314011243.9,16986071892.319283,20.32428097559054
Cement,utility-scale solar pv,7.705166666666667,320092525.2,2466366255.4202,2.9510719771851193
Chromium,CdTe,0.061,320092525.2,19525644.0372,4.930534799817881
Chromium,a-Si,0.634,320092525.2,202938660.9768,51.245230542369455
Chromium,offshore wind,0.35239,23345283.4,8226644.417326,2.07735819151858
Chromium,onshore wind,0.52649,314011243.9,165323779.800911,41.74687646629409
Copper,ASIGE,7.176666666666667,320092525.2,2297197355.8519998,26.269477216384463
Copper,Bio CCS,0.5966666666666667,1558995.7999999998,930200.8273333333,0.010637261695450644
Copper,Biomass,0.49075,3882166.9000000004,1905173.4061750001,0.02178650835518381
Copper,CDTE,7.176666666666667,320092525.2,2297197355.8519998,26.269477216384463
Copper,CIGS,1.8051553846153847,320092525.2,577816745.4399158,6.607592417304356
Copper,CSP,2.3,814369.8,1873050.54,0.021419169041058506
Copper,CdTe,2.502311666666667,320092525.2,800971260.220754,9.159463908378038
Copper,Coal,0.49075,20447704.8,10034711.1306,0.11475140120058518
Copper,Coal CCS,0.58875,3699702.5999999996,2178199.90575,0.024908688254870557
Copper,Gas,0.49075,186343867.3,91448252.87747501,1.0457515934898918
Copper,Gas CCS,0.58875,11504504.7,6773277.142124999,0.07745544766192643
Copper,Geothermal,7.333333333333333,3521926.2,25827458.8,0.295348520568043
Copper,Hydro,1.8406666666666667,47304464.4,87071750.8056,0.9957043386592593
Copper,NGCC,0.49075,186343867.3,91448252.87747501,1.0457515934898918
Copper,NGGT,0.49075,66655908.3,32711386.998225,0.3740693124503008
Copper,Nuclear New,1.2917999999999998,52384755.2,67670626.76736,0.77384382476111
Copper,Solar Distributed,2.614181818181818,42754248.3,111767378.5558909,1.278109865932718
Copper,a-Si,0.55275,320092525.2,176931143.30429998,2.023286604462124
Copper,offshore wind,5.442890184646938,23345283.4,127065813.8756611,1.453054302924716
Copper,onshore wind,3.5003207264411764,314011243.9,1099140065.3587453,12.569157295520206
Copper,utility-scale solar pv,2.614181818181818,320092525.2,836780059.5137454,9.568953513081345
Dysprosium,offshore wind,0.017555555555555557,23345283.4,409839.4196888889,8.850769249910753
Dysprosium,onshore wind,0.01344127659574468,314011243.9,4220711.983433744,91.14923075008925
Fiberglass,offshore wind,8.8098,23345283.4,205667277.69731998,7.036384641849058
Fiberglass,onshore wind,8.653333333333334,314011243.9,2717243963.8813334,92.96361535815095
Gadium,CIGS,0.00778,320092525.2,2490319.846056,100.0
Gallium,CIGS,0.012506341463414634,320092525.2,4003186.420037853,100.0
Germanium,a-Si,0.0435,320092525.2,13924024.846199999,100.0
Glass,ASIGE,63.366666666666674,320092525.2,20283196346.84,24.164007482735812
Glass,CDTE,63.366666666666674,320092525.2,20283196346.84,24.164007482735812
Glass,CIGS,63.366666666666674,320092525.2,20283196346.84,24.164007482735812
Glass,CSP,120.0,814369.8,97724376.0,0.11642211180771722
Glass,Solar Distributed,63.366666666666674,42754248.3,2709194200.61,3.2275479572490338
Glass,utility-scale solar pv,63.366666666666674,320092525.2,20283196346.84,24.164007482735812
Indium,CIGS,0.02806842105263158,320092525.2,8984491.773113683,55.34621654695857
Indium,CdTe,0.015633333333333332,320092525.2,5004113.14396,30.826310122504402
Indium,a-Si,0.0070125,320092525.2,2244648.8329649996,13.82747333053702
Lead,CdTe,0.0079,320092525.2,2528730.9490799997,0.11115908765960307
Lead,Solar Distributed,0.077475,42754248.3,3312385.3870425,0.1456073204366025
Lead,offshore wind,5.743333333333333,23345283.4,134079744.32733333,5.893937454469657
Lead,onshore wind,6.72,314011243.9,2110155559.0079997,92.75916318598757
Lead,utility-scale solar pv,0.077475,320092525.2,24799168.38987,1.0901329514465505
Magnesium,Solar Distributed,0.0535,42754248.3,2287352.28405,11.783003576852806
Magnesium,utility-scale solar pv,0.0535,320092525.2,17124950.0982,88.21699642314721
Manganese,Bio CCS,0.145,1558995.7999999998,226054.39099999997,0.06671508445598774
Manganese,Biomass,0.145,3882166.9000000004,562914.2005000002,0.1661320015138849
Manganese,CSP,3.85,814369.8,3135323.7300000004,0.925323266309888
