material,year,within_var,between_var,total_var,within_pct,between_pct,mean_demand
Dysprosium,2044,437376.73645783565,90085.9819874582,527462.7184452938,82.92088164013026,17.07911835986974,501.98325850932406
Dysprosium,2047,372438.1477637269,103419.30135734433,475857.4491210712,78.26674741598264,21.733252584017368,402.1673578784198
Dysprosium,2050,204767.27421674647,68615.44906254155,273382.72327928804,74.90132213203394,25.098677867966053,280.9211304240794
Fiberglass,2029,2560851329.831312,19525148987.46678,22086000317.298096,11.594907602286025,88.40509239771397,714429.1174689046
Fiberglass,2032,10779627922.431389,155579597773.2349,166359225695.6663,6.479729559544471,93.52027044045553,1460845.4651512334
Fiberglass,2035,14837352916.067532,690426917216.4989,705264270132.5664,2.103800453875056,97.89619954612495,1486293.331754024
Fiberglass,2038,2367000358.46614,74070764674.30615,76437765032.7723,3.0966373198526944,96.90336268014731,646196.9984793327
Fiberglass,2041,1676885767.4400787,75045069168.30959,76721954935.74966,2.1856661093221317,97.81433389067787,509022.21032644855
Fiberglass,2044,1547546877.9612834,79168315482.19402,80715862360.1553,1.9172772646051996,98.0827227353948,459311.0266277713
Fiberglass,2047,1272367787.8323205,94073832313.55917,95346200101.3915,1.3344714172974694,98.66552858270254,379187.1452850775
Fiberglass,2050,700007066.3621308,62173926331.33993,62873933397.70206,1.1133502049797235,98.88664979502029,263523.929598176
Gadium,2029,1841.0031802511692,1493.0675014233884,3334.070681674558,55.217880963654736,44.78211903634526,107.09342607220715
Gadium,2032,2224.0426632962517,753.8017153396953,2977.844378635947,74.68632945536974,25.31367054463025,122.01617392573348
Gadium,2035,3451.5024613128653,4088.814349568682,7540.316810881547,45.77397141101484,54.22602858898516,142.244655995729
Gadium,2038,771.401394106622,467.59234595057666,1238.9937400571987,62.26031408931977,37.73968591068023,70.43488151531268
Gadium,2041,980.4775399755507,1460.304237408157,2440.781777383708,40.1706350424548,59.829364957545195,73.85059752513898
Gadium,2044,1224.8457221263754,1689.6405668152256,2914.486288941601,42.026127443926995,57.97387255607302,83.34040962976111
Gadium,2047,1353.9754639774715,2196.0521676570484,3550.02763163452,38.13985705102999,61.86014294897001,85.76111806537654
Gadium,2050,1133.1994573235606,1799.4953659746286,2932.6948232981895,38.64021064589098,61.35978935410901,78.69897512587303
Gallium,2029,51442.98282355834,3419.635025825104,54862.617849383445,93.76691240798394,6.233087592016053,162.07385777280473
Gallium,2032,62146.219927333754,1726.4636366709735,63872.68356400473,97.29702348431792,2.7029765156820766,184.65775859563522
Gallium,2035,96445.01635709453,9364.782737921516,105809.79909501605,91.1494182788193,8.850581721180705,215.27129152866192
Gallium,2038,21555.198324905614,1070.9463319615147,22626.144656867127,95.26677501535166,4.733224984648359,106.5952728159075
Gallium,2041,27397.393871403092,3344.59595017713,30741.98982158022,89.12043114454063,10.879568855459365,111.7645749016921
Gallium,2044,34225.75154718613,3869.854549662371,38095.6060968485,89.84172993645451,10.158270063545489,126.12633839871707
Gallium,2047,37834.012066948075,5029.710246790553,42863.72231373863,88.26581086454445,11.734189135455546,129.7898084089008
Gallium,2050,31664.888384825234,4121.459596723101,35786.34798154834,88.48315117583903,11.516848824160965,119.10204920343313
Glass,2029,156177404100.47955,4442523175641.746,4598700579742.226,3.396120303819256,96.60387969618075,6296051.439690175
Glass,2032,191189786618.4602,2030425281230.928,2221615067849.388,8.605891694979343,91.39410830502067,7346219.117912796
Glass,2035,287962112636.1511,13519809054986.535,13807771167622.686,2.085507567733904,97.9144924322661,7757732.099421753
Glass,2038,65034709406.23929,1331676624657.8606,1396711334064.0999,4.656274193537447,95.34372580646256,4009726.9997903244
Glass,2041,82670934045.73578,3682971841884.6436,3765642775930.3794,2.195400333089488,97.80459966691052,4258265.255511922
Glass,2044,103183796312.16158,4443452849948.5205,4546636646260.682,2.2694533198957885,97.73054668010423,4806854.511853313
Glass,2047,113885537705.90738,5894162758253.469,6008048295959.376,1.8955496376834955,98.10445036231651,4933193.769803797
Glass,2050,96139396261.3123,4958138204719.625,5054277600980.9375,1.9021392145665585,98.09786078543344,4661010.699969707
Indium,2029,102474.12775645702,63103.52631422182,165577.65407067884,61.88886316309004,38.11113683690996,696.2254678133379
Indium,2032,123794.91489163943,31858.93895238921,155653.85384402864,79.5321875009191,20.4678124990809,793.2397990046538
Indium,2035,192117.92134114957,172811.07763446582,364928.99897561537,52.645287680737844,47.354712319262156,924.7472585086624
Indium,2038,42937.83186208638,19762.48620969329,62700.318071779664,68.48104313112243,31.51895686887758,457.90446838736494
Indium,2041,54575.45199899305,61718.80828174575,116294.26028073879,46.92875802059863,53.07124197940138,480.11039235561486
Indium,2044,68177.50146091759,71411.55900048379,139589.06046140136,48.841579157823595,51.15842084217641,541.8046448818757
Indium,2047,75365.13579287035,92814.71575601169,168179.85154888203,44.812226374789745,55.18777362521027,557.5419214341235
Indium,2050,63076.27667839197,76054.50059749148,139130.77727588345,45.335962260397324,54.66403773960268,511.63019788439505
