material,technology,S1,S1_conf,ST,ST_conf,coefficient,n_params,n_evaluations,analytical
Cement,Hydro,0.184087399702474,0.03636720941680697,0.184292976893969,0.016707787245548455,374536.5999999999,19,21504,False
Cement,utility-scale solar pv,0.01976953515422602,0.010730644683920692,0.017578985426921063,0.0016413903524049062,41764359.32999998,19,21504,False
Cement,Nuclear New,0.007471785061699171,0.007398516973083921,0.007474669782946067,0.0006535982625242883,1582396.8,19,21504,False
Cement,NGCC,0.0032812061597735495,0.0047303147610920976,0.003264392890465474,0.0003057353838442199,5142680.699999998,19,21504,False
Cement,NGGT,0.003226220455569337,0.004908430613271223,0.0032224995111959217,0.0003100201940574121,5109209.6000000015,19,21504,False
Cement,Gas CCS,0.0009957943493279695,0.001991456429131239,0.0005189943262738597,4.948057143209534e-05,2577920.899999998,19,21504,False
Cement,Coal CCS,0.0006790692222560115,0.0021162050135850076,0.0006624902076940593,5.537895628213361e-05,534664.8999999999,19,21504,False
Cement,CdTe,0.00032179411768993156,0.0017145835066716371,0.00043393769716410635,3.9300480171729194e-05,3248339.058999999,19,21504,False
Cement,Solar Distributed,0.00015981737418110117,0.0009213363214323454,0.00015974141724893473,1.5179428195865607e-05,4000044.3999999957,19,21504,False
Cement,CIGS,8.252241372314996e-05,0.0007431354820273895,7.96928089623166e-05,6.659662139630661e-06,1392145.311000001,19,21504,False
Cement,CSP,1.207571415151622e-05,0.0003157047685235765,1.1365461894609302e-05,9.880009523723614e-07,33994.30000000001,19,21504,False
Cement,Bio CCS,4.366248924156628e-06,0.000202057106384839,4.331823492873286e-06,3.887044641583063e-07,270022.29999999993,19,21504,False
Cement,offshore wind,1.5613846951104233e-08,1.1295747210009684e-05,2.056885988538756e-08,1.7318149017807968e-09,3300259.0999999987,19,21504,False
Cement,Biomass,1.975300650558472e-17,5.352333341057374e-17,3.526885912597647e-31,3.947943728655332e-32,0.0,19,21504,False
Cement,a-Si,7.637363855154386e-18,6.23572357715393e-17,4.203204271793435e-31,4.989187751698439e-32,0.0,19,21504,False
Cement,Coal,0.0,6.205064681960278e-17,4.620925148690082e-31,4.782675802865255e-32,0.0,19,21504,False
Cement,Gas,0.0,5.122415559645837e-17,3.4941445369691884e-31,4.209497631109921e-32,0.0,19,21504,False
Chromium,onshore wind,0.9994802143873056,0.07505760655022585,0.9994788258370457,0.06041053731475414,39276367.800000004,4,6144,False
Chromium,offshore wind,0.0005318479137887758,0.002033880864781688,0.0005327740093654393,4.1011851356400624e-05,3300259.0999999987,4,6144,False
Chromium,CdTe,2.496209245639463e-06,0.0001287635933884367,2.3148417377967945e-06,2.0283022704277548e-07,3248339.058999999,4,6144,False
Chromium,a-Si,0.0,0.0,0.0,0.0,0.0,4,6144,False
Copper,onshore wind,0.8045037040723578,0.06459580400045847,0.8001351984785916,0.05682945668419636,39276367.800000004,19,21504,False
Copper,utility-scale solar pv,0.19365433106999572,0.032693005973872744,0.18466247983694772,0.015490490792694976,41764359.32999998,19,21504,False
Copper,offshore wind,0.010429519060951284,0.009023989227602296,0.010413970419916522,0.000801113486154595,3300259.0999999987,19,21504,False
Copper,Solar Distributed,0.0016786999694116224,0.0030524450098028066,0.0016780403149252454,0.0001504623813384521,4000044.3999999957,19,21504,False
Copper,CdTe,0.0005023239312280632,0.0016946824413501345,0.0004947325664570169,4.36077648021588e-05,3248339.058999999,19,21504,False
Copper,CIGS,0.0002241771139034089,0.0011872285230433866,0.00022492161790928282,1.7456487652125644e-05,1392145.311000001,19,21504,False
Copper,Nuclear New,2.643657914086118e-05,0.00042987664931877164,2.6680831721826944e-05,2.3424793011442597e-06,1582396.8,19,21504,False
Copper,Geothermal,1.8081459453729564e-05,0.0005616058750078278,3.561168582961126e-05,2.848431298564273e-06,433939.00000000047,19,21504,False
Copper,NGCC,1.1587307799242347e-06,8.648451997157913e-05,1.0883794652373824e-06,1.0022418277407275e-07,5142680.699999998,19,21504,False
Copper,NGGT,1.1417154116913514e-06,9.151473717784998e-05,1.074411816349412e-06,9.275992386377985e-08,5109209.6000000015,19,21504,False
Copper,Coal CCS,8.287576458040444e-08,8.87538829302837e-06,9.028224904700438e-09,7.634496739409133e-10,534664.8999999999,19,21504,False
Copper,Hydro,6.555549918708336e-08,0.00011162371258626267,1.6257650657861082e-06,1.474200831397288e-07,374536.5999999999,19,21504,False
Copper,Coal,1.4023928368689955e-17,2.5924208679038856e-17,7.20449254776609e-32,1.0370198066615922e-32,0.0,19,21504,False
Copper,Biomass,1.4014615370711833e-17,1.8786946635149847e-17,5.236381602997953e-32,8.276167261579006e-33,0.0,19,21504,False
Copper,Gas,6.8935694669345026e-18,2.236766773584872e-17,5.62693715746345e-32,8.666038294233214e-33,0.0,19,21504,False
Copper,a-Si,2.3518663199143047e-18,2.5542316049276543e-17,6.579385049635868e-32,8.50474461393096e-33,0.0,19,21504,False
Copper,Bio CCS,0.0,2.4026983005381493e-06,6.097174966673159e-10,5.1143570828670135e-11,270022.29999999993,19,21504,False
Copper,CSP,0.0,5.260514190720138e-06,3.1316347827828404e-09,2.640278496846138e-10,33994.30000000001,19,21504,False
Copper,Gas CCS,0.0,3.6999151294061815e-05,2.0987264209783272e-07,1.8484685009300063e-08,2577920.899999998,19,21504,False
