material,growth_rate_short_pct,growth_rate_long_pct,peak_annual_growth_short_pct,peak_annual_growth_long_pct,scenario_cv,mean_ci_width,demand_volatility_cv,import_dependency,hhi_wgi,mean_capacity_ratio,max_capacity_ratio,exceedance_frequency,reserve_consumption_pct,domestic_reserve_coverage,global_reserve_coverage,reserves_high_risk_frac,reserves_oecd_frac,reserves_china_frac,import_china_frac,import_high_risk_frac,import_oecd_frac,import_hhi,production_hhi
Germanium,-53.5841116638722,-19.69142778608486,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5631999999999999,0.5877,0.37659999999999993,0.45566853999999984,0.0
Glass,3.5406972068455556,-1.4216565494929334,16.679782372843846,16.679782372843846,0.2224464978765436,0.18266632782479883,0.5892744165009826,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indium,4.844468995433937,-1.4562988396269905,16.578525140697952,16.578525140697952,0.24244023189877742,1.4212945900890455,0.617647384181608,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1056,0.12300000000000001,0.8076000000000001,0.20423848000000006,0.0
Lead,13.055589562316205,-4.553343919302277,102.12156458711645,102.12156458711645,0.305818226802851,0.21119789874418732,0.8401204566027445,0.1511479680570779,0.01625887285714286,16061.118545044423,31955.443922284278,1.0,4422.83648604634,0.0010833922261842491,0.02260992472036694,0.2833333333333333,0.43020833333333336,0.22916666666666666,0.0524,0.2189,0.606,0.12985457999999997,0.31003157580549723
Magnesium,3.181808341390746,-1.4042591545068706,17.44967717557328,17.44967717557328,0.2180717349679804,0.15267173282069313,0.5824663390376932,0.3921642203890029,0.03444028731242036,301.3119276684324,494.45777717757545,1.0,1473.3102603041723,0.002064619501413798,0.06787436610897861,0.8797528517110266,0.04657794676806084,0.8555133079847909,0.0484951504849515,0.29587041295870414,0.6164383561643837,0.1416707144404048,0.4505296296296296
Manganese,13.94826923731316,-3.584591365121337,100.32964822764512,100.32964822764512,0.3180405703734936,0.049025005860891695,0.8066086629681201,1.0,0.03911708302543426,0.0,0.0,1.0,29.10046205973921,0.0,3.436371552957265,0.20823529411764705,0.29411764705882354,0.16470588235294117,0.0,0.1495149514951495,0.3957395739573958,0.1272503988072575,0.30638393303317424
Molybdenum,11.837832959670846,-3.8510250860869233,86.71559869042854,86.71559869042854,0.2901817865106376,0.44184822634585397,0.7872870264367074,0.0,0.009092817059945553,2040.8485809672738,3919.2793614997354,1.0,483.6053515791293,0.048248707871288814,0.2067801765912378,0.4154,0.37266666666666665,0.3933333333333333,0.0098990100989901,0.0098990100989901,0.832916708329167,0.5018310787659361,0.30621254025954886
Neodymium,13.101103485749753,-4.58553942091865,102.77464581176481,102.77464581176481,0.30627441351301327,1.5022719132255333,0.8423517676988487,0.0,0.36038535503942426,2570.311521328413,5119.827155663675,1.0,111.03728587995816,0.019012632507907502,0.9005983819535133,0.49877777777777776,0.08444444444444445,0.4888888888888889,0.0,0.0,0.0,0.0,0.37183180867781607
Nickel,13.427246946358796,-4.0102845756385115,98.45398053504941,98.45398053504941,0.31583724111824374,0.9392054669731134,0.8172435548628637,0.26328125468712893,0.006890163327004394,12486.52451080331,25942.58215265401,1.0,133.5044482406802,0.0017861692370852158,0.7490387123260582,0.033846153846153845,0.187,0.033846153846153845,0.0,0.0812918708129187,0.8484151584841516,0.3076514766281596,0.33146230629600903
Niobium,12.978960620518244,-4.641405518031416,104.57952130951402,104.57952130951402,0.30257711956726885,0.15703898182010667,0.8438126571028904,1.0,0.19581756167234704,0.0,0.0,1.0,141.84064622360987,0.008709027704933285,0.7050165284945992,0.0,0.012352941176470587,0.0,0.0,0.0,0.40795920407959196,0.509100224864025,0.4653765052117047
Praseodymium,11.844662023584629,-5.178126002329819,120.88153807317931,120.88153807317931,0.26936850972820564,2.918884752441761,0.8644397219379543,0.0,0.36038535503942426,189.27654242603296,365.40343176815105,1.0,8.222931218566211,0.25673461871412984,12.161113518037729,0.49877777777777776,0.08444444444444445,0.4888888888888889,0.0,0.0,0.0,0.0,0.37183180867781607
Selenium,4.844468995433937,-1.4562988396269905,16.57852514069798,16.57852514069798,0.2424402318987774,2.6901678865654435,0.6176473841816085,0.775,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03410682136427285,0.45529105821164223,0.22187684186167092,0.0
Silicon,3.185574606769337,-1.4043717907400666,17.442028297154604,17.442028297154604,0.21812036752276415,1.3333260947700816,0.5825327773243043,1.0,0.08634048151861319,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028802880288028798,0.28902890289028904,0.33653365336533647,0.1508435171950038,0.3762243049290729
Silver,3.220362477570249,-1.394870970396278,17.374850005904825,17.374850005904825,0.21843320680939537,1.380682999100034,0.5821592532186479,0.7094480011856146,0.1076055193320835,7520.825949798228,12345.703245183055,1.0,4013.9559501197036,0.0008953137614509253,0.02491307857950401,0.15390625,0.31875,0.109375,0.009201840368073614,0.08451690338067612,0.3909781956391278,0.2824616333548766,0.27962086332193586
Steel,10.375173592502506,-2.905369828261817,91.63097501534229,91.63097501534229,0.2567580800512045,0.4590153063838533,0.7266064642238518,0.38767220395016777,0.18435323857142857,1829.9356899417069,3457.9286280736774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063,0.29719999999999996,0.05,0.29553096,0.3643387350078583
Tellurium,4.844468995433937,-1.4562988396269905,16.578525140697963,16.578525140697963,0.24244023189877734,2.3687345238288926,0.6176473841816088,0.5700000000000001,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405040504050405,0.0405040504050405,0.804980498049805,0.5167540756475888,0.0
Terbium,12.976188714595715,-4.642677445681642,104.62036801993699,104.62036801993699,0.30249347530120074,3.415105110190451,0.8438477878193572,0.0,0.36038535503942426,100.42221340181025,199.40975026798822,1.0,4.340706857159683,0.4863519193029553,23.03772249329788,0.49877777777777776,0.08444444444444445,0.4888888888888889,0.0,0.0,0.0,0.0,0.37183180867781607
Tin,3.1870532916728145,-1.404416019517718,17.439024866100368,17.439024866100368,0.21813946992401334,0.15271908670777687,0.5825588777633107,0.6364903404188592,0.12218040142857145,19917.044952820277,32690.432928630828,1.0,7984.5398929510775,0.0,0.012524203190252969,0.3333333333333333,0.14761904761904762,0.23809523809523808,0.007400000000000001,0.25830000000000003,0.04860000000000001,0.20065544000000005,0.2856503987732925
Vanadium,5.815298538259972,-8.916687627067743,194.76398189816177,194.76398189816177,0.14367626347707416,0.11439463006973737,1.0985865921773117,0.5489631700699469,0.02661306131745741,86602.53623962597,144225.34960321037,1.0,2325.73713928957,0.00010749280121844125,0.0429971204873765,0.22777777777777777,0.4747222222222222,0.22777777777777777,0.0,0.05023106288929073,0.6476793248945147,0.1692390986078658,0.3745959087220458
Yttrium,13.607614690815172,-4.3575294781166285,95.18529242877783,95.18529242877783,0.321842204693807,1.04731920576714,0.8382779876723373,1.0,0.052393094904845276,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22790277219766975,0.24919646444355165,0.7508035355564484,0.2257077182189016,0.0
Zinc,13.57475550710998,-4.339524329278421,94.8166604246421,94.8166604246421,0.3213604098024087,0.16687906094717808,0.8369054676805069,0.09668059270559773,0.011598973964517449,16773.182265484014,33804.294059724474,1.0,1412.9491150162064,0.002830958282566404,0.0707739570641601,0.23304347826086957,0.3352173913043478,0.2,0.0,0.0241024102410241,0.732073207320732,0.4032998659401893,0.2933828655736053
