scenario,total_cumulative_demand,peak_demand,mean_demand_early,year_of_peak,demand_slope,temporal_concentration,mean_cv,mean_ci_width,solar_fraction_2035,wind_fraction_2035,storage_fraction_2035,n_active_materials,supply_chain_stress,peak_supply_chain_stress,mean_n_exceeding_production,peak_n_exceeding_production,total_import_exposed_demand
DC_Trans_No_TC_Expiration,248684959.8008512,58579684.1487583,41688914.42995663,2032.0,-93470.57136232655,1.5663666420474744,0.3424874596663903,1.2071580010575491,0.2879388915670787,0.27127207563551076,0.05863300321084244,30,0.17494666381456225,0.2375698939030867,16.0,18,89661946.46158609
High_Demand_Growth,346683399.40915424,68376690.94046982,51905975.31259662,2032.0,192334.0086269872,1.4064749794248608,0.3442842260260287,1.2128375516831116,0.2902199943447985,0.28231658290160505,0.05627146736996631,30,0.17174308178295847,0.2527548731309895,16.0,18,122465268.02458298
High_Demand_Growth_CO2e_100by2035,411082812.61654943,135265557.86865166,88097461.89964621,2035.0,-1267100.8741863663,3.3837623684220817,0.33627084369451216,1.1912704173467192,0.3139898402247222,0.34509297529360994,0.06739937126238969,30,0.1572305868593596,0.24038560219855448,16.0,18,132248628.45015068
High_Demand_Growth_No_TC_Expiration,349200695.59073967,68376708.75897641,51620716.847695254,2032.0,238767.50970901878,1.3818043246949636,0.3453385877751298,1.2166193382358101,0.29037566159365097,0.2808863697463228,0.056313644629854276,30,0.17131296316778205,0.24880641825705418,16.0,18,123309947.57456116
High_H2,361477491.3133825,68602639.00787698,52116716.52725027,2032.0,585429.8700470647,1.185946479964352,0.3487202105564318,1.2276501130762472,0.27534079661921934,0.2909626086881026,0.04335116042501407,30,0.1711522196639389,0.22748122713068397,16.0,18,129768729.21379372
High_H2_CO2e_100by2035,410174323.1234237,108086029.22220938,80587085.71017878,2035.0,-703545.9104684043,2.267989226543976,0.34461433019866294,1.2170609416310678,0.30269309464424765,0.3472458695419201,0.06283306300422595,30,0.1598392797393653,0.21274721250065529,16.0,18,136029234.6990329
High_H2_No_TC_Expiration,364773853.8523709,68602591.4218632,51920896.703876205,2032.0,688040.2749300438,1.154825739637954,0.34700316119058255,1.2223671444120792,0.2752521316597093,0.29032582106240457,0.043358818380143695,30,0.17170204363243943,0.22865274944532724,16.0,18,131527174.73973121
High_H2_and_Demand,457029641.71181947,79278925.27136943,61626291.13910513,2032.0,926960.408943045,1.1053219255799673,0.34670783315687553,1.2209365627466455,0.28558619354586373,0.29331517227994613,0.04519301227259721,30,0.16729810279080345,0.23088415980645782,16.0,18,160276140.1484644
High_H2_and_Demand_CO2e_100by2035,521148860.60513794,144182187.60652447,98754180.33679767,2035.0,-807400.5673936469,2.4164711173354365,0.3415985571660968,1.2073082983976746,0.3114254607426551,0.3400570180055045,0.05780509842671558,30,0.1533002960870923,0.2269320959717818,16.0,18,166674124.4124499
High_H2_and_Demand_No_TC_Expiration,466578401.40286326,79278925.27136943,61626874.28248116,2032.0,1106438.2107126089,1.0536920942362125,0.3458001306857217,1.2188933031055402,0.2855785163675368,0.2933277750048674,0.04519266966195768,30,0.16421527102318495,0.21780864024161897,16.0,18,161918224.9990343
Limited_Trans,245348994.43467063,55980231.65898771,41113197.99836265,2032.0,-20242.78442385051,1.4767582256873986,0.3397615202813133,1.1990850877952017,0.2773063567285114,0.2570819917929531,0.06950086006290683,30,0.17830776062053155,0.24882806953247258,16.0,18,89961207.5133588
Limited_Trans_CO2e_100by2035,310208297.3572927,117236260.58030725,75366011.49776222,2035.0,-1392073.089941929,4.84869098321034,0.3282100828825338,1.1672724580926026,0.30875206657714255,0.3077323816905287,0.08831780226283296,30,0.16582780772886094,0.26144724963345317,16.0,18,102888862.85459073
