scenario,growth_rate_short_pct,growth_rate_long_pct,peak_annual_growth_short_pct,peak_annual_growth_long_pct,mean_cv,mean_ci_width,solar_fraction_2035,wind_fraction_2035,storage_fraction_2035,solar_fraction_2050,wind_fraction_2050,storage_fraction_2050,supply_chain_stress,peak_supply_chain_stress,mean_n_exceeding_production,peak_n_exceeding_production
Low_Demand_Growth_No_TC_Expiration,-2.582861731838837,-3.80434748588667,82.53440418997658,82.53440418997658,0.33441763755542686,1.1825539619877963,0.29318586653574663,0.24446340651087461,0.05844789405978263,0.3584563986843785,0.2475990092017899,0.08059803629098944,0.13343758331745817,0.17747264940070884,16.0,18
Mid_Case,2.4194005988724645,-3.302334979434908,79.71635687241633,79.71635687241633,0.3409936164772057,1.2026888659850759,0.2820639485622366,0.265973592950422,0.06447319654992291,0.3446374371529414,0.2728209959081181,0.11135349257460479,0.12502729396668721,0.17642184260966381,16.0,18
Mid_Case_100by2035,0.1278932129169787,-6.535493280294055,54.865176164009476,109.0028363940623,0.33066207330896885,1.1720896795902744,0.28049196176962066,0.31885027545204425,0.07461975402836904,0.31157296245060956,0.29314606379009356,0.11649856065526029,0.12107434990225924,0.16865060979558877,16.0,18
Mid_Case_95by2035,1.2155948500295757,-6.0719378058885,54.037502328120944,159.32889367278733,0.33036634070292153,1.171428746524308,0.2803146638833529,0.31247926232848,0.06494741008227352,0.30296620633010296,0.29777376940305417,0.10483518666063926,0.11559232930293867,0.1489225134852406,16.0,18
Mid_Case_95by2050,1.751589619039726,1.249305390294423,75.12731185164195,84.71344108134043,0.34296052645823555,1.2096320375551597,0.2864816113121957,0.2634117442161425,0.06525324358036766,0.3630085895281239,0.3132027483013823,0.10953552407901922,0.11932139175683032,0.148274237943933,16.0,18
Mid_Case_CO2e_100by2035,12.39544245634807,-7.34106510970694,102.6491259765059,102.6491259765059,0.33413616633912435,1.1858176256177677,0.30432381372019396,0.339876956594199,0.078921009912617,0.32478706999743195,0.309961097788574,0.11832891956389222,0.12105541907425062,0.1790075565534479,16.0,18
Mid_Case_CO2e_95by2035,10.423949851158136,-6.049837256942272,82.31229372153767,82.31229372153767,0.33214179041720826,1.1776346636938304,0.29243220545221515,0.331311805524676,0.06699184947429777,0.31664568414554756,0.3069391357579419,0.11221840090252369,0.12099340250221667,0.1736294595031199,16.0,18
Mid_Case_CO2e_95by2050,2.266277754167623,2.3107919651142064,79.98207978862645,93.0819266416691,0.3430765067526432,1.2099820510255366,0.2862746588558551,0.2635225918677886,0.06526882363277949,0.36541492476060716,0.32030789511298297,0.10898865144765171,0.11891726081070948,0.147446606258694,16.0,18
Mid_Case_NoNascent,3.0762369786979824,-3.16970921118723,82.36675951149427,83.16277471492019,0.33971436353550155,1.1983458055589291,0.28598292478181264,0.2680011132635431,0.06469083263545604,0.3476901162050145,0.271959556332639,0.1125810992574354,0.12673389593502446,0.17451638536011216,16.0,18
Mid_Case_No_111D,4.644021023528328,-2.4458726611975523,38.94710372783474,47.808217237741054,0.34045901595335104,1.201377303965969,0.2777353757579447,0.2558379598743678,0.0545229891219764,0.34557601713003927,0.26234744437333074,0.1150419346206397,0.12699772842488674,0.17223504554962835,16.0,18
Mid_Case_No_IRA,14.651039614653804,-5.247420642282672,174.2862963571308,174.2862963571308,0.331772474487471,1.1764029429592884,0.2373079136959863,0.2221682664924691,0.042148728539717,0.2906293316073621,0.2199151129549765,0.06708692200622932,0.12527951878450483,0.19343417029848017,15.666666666666666,18
Mid_Case_No_IRA_111D,10.061572620931415,-3.2607126389315453,85.18995170611205,85.89458777787495,0.32725914790489075,1.161518110430426,0.20723692485916578,0.20080644122146116,0.04526986604718629,0.2762885154683799,0.2060731301350688,0.07184381066556939,0.12071416389385248,0.17982031044880448,15.88888888888889,18
Mid_Case_No_TC_Expiration,1.7834601335741551,-3.156702426072181,79.71635687241633,79.71635687241633,0.3413432470280618,1.2036782021436168,0.2813676681405604,0.2638599659951874,0.06492754879632738,0.34061236181530147,0.2720257146956383,0.1058974894150912,0.12392620392349131,0.16678456174948178,16.0,18
No_TC_Expiration_CO2e_100by2035,12.398952932175222,-3.0724504109149064,102.67231286383267,102.67231286383267,0.34494299344119583,1.216518278051565,0.30426662147022226,0.33990592903252953,0.07895626891951496,0.3486459893048128,0.32521291137021124,0.09135762952572982,0.12061565017406656,0.16499236143943358,16.0,18
