material,growth_rate_long_pct,scenario_cv,import_dependency,hhi_wgi,us_capacity_ratio,global_capacity_ratio,global_reserve_coverage,domestic_reserve_share,reserves_high_risk_frac,reserves_china_frac,import_china_frac,import_hhi,production_hhi
Molybdenum,-3.8510250860869233,0.2901817865106376,0.0,0.009092817059945553,2040.8485809672738,0.15946990256470064,0.2067801765912378,0.2333333333333333,0.4154,0.3933333333333333,0.0098990100989901,0.5018310787659361,0.30621254025954886
Neodymium,-4.58553942091865,0.30627441351301327,0.945,0.36038535503942426,2570.311521328413,0.14508560812529767,0.9005983819535133,0.021111111111111112,0.49877777777777776,0.4888888888888889,0.0,0.0,0.37183180867781607
Nickel,-4.0102845756385115,0.31583724111824374,0.502,0.006890163327004394,12486.52451080331,0.025645493853959134,0.7490387123260582,0.0023846153846153848,0.033846153846153845,0.033846153846153845,0.0,0.3076514766281596,0.33146230629600903
Niobium,-4.641405518031416,0.30257711956726885,1.0,0.19581756167234704,0.0,0.11954266091114202,0.7050165284945992,0.012352941176470587,0.0,0.0,0.0,0.509100224864025,0.4653765052117047
Praseodymium,-5.178126002329819,0.26936850972820564,0.945,0.36038535503942426,189.27654242603296,0.010684036558938926,12.161113518037729,0.021111111111111112,0.49877777777777776,0.4888888888888889,0.0,0.0,0.37183180867781607
Selenium,-1.4562988396269905,0.2424402318987774,0.775,0.5,0.0,1.9237556718746696,0.0,0.0,0.0,0.0,0.0,0.22187684186167092,0.2953122879412806
Silicon,-1.4043717907400666,0.21812036752276415,0.25,0.08634048151861319,0.0,275.8906217784507,0.0,0.0,0.0,0.0,0.028802880288028798,0.1508435171950038,0.3762243049290729
Silver,-1.394870970396278,0.21843320680939537,0.7120000000000001,0.1076055193320835,7520.825949798228,0.5204591046276605,0.02491307857950401,0.03593749999999994,0.15390625,0.109375,0.009201840368073614,0.2824616333548766,0.27962086332193586
Steel,-2.905369828261817,0.2567580800512045,0.136,0.18435323857142857,1829.9356899417069,56114.299919220866,0.0,0.0,0.0,0.0,0.0063,0.29553096,0.3643387350078583
Tellurium,-1.4562988396269905,0.24244023189877734,0.5700000000000001,0.5,0.0,11.201988750390287,0.0,0.0,0.0,0.0,0.0405040504050405,0.5167540756475888,0.5978328298840041
Terbium,-4.642677445681642,0.30249347530120074,0.945,0.36038535503942426,100.42221340181025,0.005668502739761265,23.03772249329788,0.021111111111111112,0.49877777777777776,0.4888888888888889,0.0,0.0,0.37183180867781607
Tin,-1.404416019517718,0.21813946992401334,0.76,0.12218040142857145,19917.044952820277,0.5672307562023015,0.012524203190252969,0.0,0.3333333333333333,0.23809523809523808,0.007400000000000001,0.20065544000000005,0.2856503987732925
Vanadium,-8.916687627067743,0.14367626347707416,0.552,0.02661306131745741,86602.53623962597,2.0989534877741822,0.0429971204873765,0.0025,0.22777777777777777,0.22777777777777777,0.0,0.1692390986078658,0.3745959087220458
Yttrium,-4.3575294781166285,0.321842204693807,1.0,0.052393094904845276,0.0,0.002005449172152766,0.0,0.0,0.0,0.0,0.22790277219766975,0.2257077182189016,0.4951157359721789
Zinc,-4.339524329278421,0.3213604098024087,0.762,0.011598973964517449,16773.182265484014,147.16362373391595,0.0707739570641601,0.04,0.23304347826086957,0.2,0.0,0.4032998659401893,0.2933828655736053
