scenario,growth_rate_short_pct,growth_rate_long_pct,peak_annual_growth_short_pct,mean_cv,solar_fraction_2035,wind_fraction_2035,solar_fraction_2050,wind_fraction_2050
Limited_Trans_No_TC_Expiration,2.0481874503861763,-3.825990841310293,69.54055688539313,0.34002293188116484,0.27717432776943696,0.2564778435295763,0.33665010204943635,0.25153307811851267
Low_Demand_Growth,-1.0825445300725658,-12.937900076719995,82.5345165300951,0.2909893933509668,0.2943552269873923,0.24784513906300557,0.33093827268843196,0.22937822122773815
Low_Demand_Growth_CO2e_100by2035,14.891025082888744,-11.334742758997498,96.2630687805338,0.310933910822332,0.33561756195318376,0.2984211240301807,0.36805736284692253,0.2659335386017754
Low_Demand_Growth_No_TC_Expiration,-2.582861731838837,-3.80434748588667,82.53440418997658,0.33441763755542686,0.29318586653574663,0.24446340651087461,0.3584563986843785,0.2475990092017899
Mid_Case,2.4194005988724645,-3.302334979434908,79.71635687241633,0.3409936164772057,0.2820639485622366,0.265973592950422,0.3446374371529414,0.2728209959081181
Mid_Case_100by2035,0.1278932129169787,-6.535493280294055,54.865176164009476,0.33066207330896885,0.28049196176962066,0.31885027545204425,0.31157296245060956,0.29314606379009356
Mid_Case_95by2035,1.2155948500295757,-6.0719378058885,54.037502328120944,0.33036634070292153,0.2803146638833529,0.31247926232848,0.30296620633010296,0.29777376940305417
Mid_Case_95by2050,1.751589619039726,1.249305390294423,75.12731185164195,0.34296052645823555,0.2864816113121957,0.2634117442161425,0.3630085895281239,0.3132027483013823
Mid_Case_CO2e_100by2035,12.39544245634807,-7.34106510970694,102.6491259765059,0.33413616633912435,0.30432381372019396,0.339876956594199,0.32478706999743195,0.309961097788574
Mid_Case_CO2e_95by2035,10.423949851158136,-6.049837256942272,82.31229372153767,0.33214179041720826,0.29243220545221515,0.331311805524676,0.31664568414554756,0.3069391357579419
Mid_Case_CO2e_95by2050,2.266277754167623,2.3107919651142064,79.98207978862645,0.3430765067526432,0.2862746588558551,0.2635225918677886,0.36541492476060716,0.32030789511298297
Mid_Case_NoNascent,3.0762369786979824,-3.16970921118723,82.36675951149427,0.33971436353550155,0.28598292478181264,0.2680011132635431,0.3476901162050145,0.271959556332639
Mid_Case_No_111D,4.644021023528328,-2.4458726611975523,38.94710372783474,0.34045901595335104,0.2777353757579447,0.2558379598743678,0.34557601713003927,0.26234744437333074
Mid_Case_No_IRA,14.651039614653804,-5.247420642282672,174.2862963571308,0.331772474487471,0.2373079136959863,0.2221682664924691,0.2906293316073621,0.2199151129549765
Mid_Case_No_IRA_111D,10.061572620931415,-3.2607126389315453,85.18995170611205,0.32725914790489075,0.20723692485916578,0.20080644122146116,0.2762885154683799,0.2060731301350688
Mid_Case_No_TC_Expiration,1.7834601335741551,-3.156702426072181,79.71635687241633,0.3413432470280618,0.2813676681405604,0.2638599659951874,0.34061236181530147,0.2720257146956383
No_TC_Expiration_CO2e_100by2035,12.398952932175222,-3.0724504109149064,102.67231286383267,0.34494299344119583,0.30426662147022226,0.33990592903252953,0.3486459893048128,0.32521291137021124
Reduced_RE_Resource,-0.33953710682698063,-4.3435061077431465,75.54493370186894,0.32405936236225286,0.2996042292107551,0.232771154256279,0.3617637717058448,0.21973304971283325
Reduced_RE_Resource_CO2e_100by2035,12.889986333084908,-11.10637421954458,93.73426529777844,0.30791920843734477,0.3366679875106689,0.2904373593300078,0.3585891220548887,0.25162984360952967
Reduced_RE_Resource_No_TC_Expiration,-0.6083499317445794,-5.163690074053098,75.54517142686214,0.3237054715794794,0.2995528435616394,0.23211011240763038,0.3607557348195198,0.21787444902020292
