,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
mean_capacity_ratio,-0.09150392321024439,-0.04947582806510953,0.28801538851454317,0.12545561160198843,0.4875080701973156,-0.28849618527360016,-0.1184546932484703,-0.0800326883679207,0.07584829371409679,0.0962300994413426,0.01635148429045844,0.10242567011202135,-0.07905391828450953,-0.06418784733804965,0.038459386056952476,-0.012953465778454947,-0.038523984887201775,0.07454659402353106,0.03213187814646537,-0.03365556131544306,0.6182606488324012,-0.18601218964129967,-0.29208225650288133,-0.0017112310389822245
max_capacity_ratio,-0.09085003096619966,-0.051059766984371195,0.28719353119193247,0.12550628690487856,0.4857572767193684,-0.29178885729249593,-0.12230751591572232,-0.08040704645406317,0.07518631723659909,0.09803023506186036,0.009395444589486834,0.11668128971785105,-0.07274331797502534,-0.07906276335400177,0.04185031464045461,-0.005240221837574693,-0.029390612571572078,0.05972767313662162,0.012186655663331838,-0.07082234542062062,-0.6134222148844116,0.1868371139799813,0.2920648321020556,0.0015789397056545137
exceedance_frequency,-0.0044501805429617,0.2164075801830559,0.2601078402175438,0.17701530594563616,-0.24664500841282655,-0.127199112466083,0.17965268925798336,-0.1452866055613892,0.5444496257294493,-0.06322575402867812,-0.33061936189284885,-0.3771246499398034,0.12060352636392055,-0.17373112952504358,0.28278040761022777,-0.12256974362989002,0.018109507317323813,-0.026705179107109397,0.1761606412426544,0.002148120427663296,-0.0013791017974026222,0.002772999323782784,0.0014190605232836007,5.7276855588552716e-05
cumulative_demand,0.37164716764155226,-0.08258492671833845,0.124244256671224,0.014457179371399656,0.019883596294542383,0.02939300014929121,0.05649116693546299,0.05909281877357591,-0.08488771065281536,0.18664569061144726,0.11446077905663302,-0.11466455925372969,0.0704686220789068,-0.12297203587622203,0.13900175080026173,0.15916467698492862,0.07679837723751792,-0.033108601117003394,-0.03719438566819347,-0.006461699865803307,-0.07409116149438011,-0.4605856035738862,0.13469254918459767,-0.6739772423258628
reserve_consumption_pct,-0.03092569302643712,0.3006625432349472,0.016441700640891357,-0.04473347454907877,0.11955249653896745,0.21003700619915405,0.2691580309022255,0.6175183975644968,0.3065571472584407,0.2237911213910264,-0.053629252249782454,0.38264215840631627,-0.22296491070163926,-0.10114367233625775,0.07630659991303379,-0.04455967366421289,0.015540459371013171,-0.1525360272109468,-0.0703259412057288,0.06796618676409388,0.001924364219519752,-0.0018907941535960628,-0.00267587491543821,0.00011915413129754498
domestic_reserve_coverage,-0.0014365373098973587,-0.08126438228172411,-0.23305853679119412,0.2708243470883393,0.1962747317113883,0.37087051594288883,-0.43588934397773305,0.035238475615629615,0.06434985834577948,0.3304083881753889,-0.1581713216663349,-0.10181497852619321,0.1260608265101645,0.15574033612682078,0.044959278740683575,-0.11072236918017561,0.14136763308912823,-0.17472082236716652,0.46786112871763996,0.16057230927328672,-0.010468428836543813,0.0005562310202188309,-0.00016412926162218363,0.0003457050863313738
global_reserve_coverage,-0.12288894429714417,-0.10421521301106652,0.2899297366996905,0.09611449855996877,-0.24746540403243428,0.4027775751186165,0.011557554718823493,-0.23524042173601512,-0.297519864078447,0.10338857339138754,-0.08271082197097578,0.3003536340849675,-0.28867093330088767,-0.30936887532020735,0.26968741561436005,-0.15089528585258352,-0.14815409617124065,0.22295673289150575,0.1887277289098749,-0.15394555422345008,0.004166637162004685,0.001988114201828108,0.0005445878410118103,-0.00015059967630394743
reserves_high_risk_frac,-0.15825360786865614,0.18641032899764384,0.3307600952818721,0.11497895685470233,0.12714423656108917,0.30544249786324285,0.15175988423850417,0.07541921219568527,-0.12127875554229475,-0.14547955008242988,-0.07900291270138779,-0.2652495985747491,-0.052067117534207466,-0.07478313205391027,-0.5149145245271033,0.4935795960770726,-0.008875604154352642,0.043508312416278686,0.214353146025472,0.04363413568527133,-0.006619986541723388,0.001137346861988672,0.0019169390643028954,-6.021370847875379e-05
reserves_oecd_frac,-0.03226593835070185,0.4850317397540781,0.03613642641493996,-0.029573198311360228,0.041622440504453254,0.07904232217558273,0.036104365995385294,-0.05782163863839973,-0.06863163472343048,0.20477182008680098,0.09404554221324764,0.16343623657945747,0.5676533336019323,0.2502350373562588,0.12137875407823255,0.051685831623331194,-0.11297039609238264,0.4995574458152848,0.009670650040896615,-0.044881135561784316,-0.0035222826694701723,-0.0005281161302589598,0.0022778760596238166,-0.00042743679353443717
reserves_china_frac,-0.1539755404375898,0.13406710249164785,0.35873572979038726,0.11364090439847753,0.1423223662129271,0.3107744440512223,0.0994835781413667,-0.09492355693228205,-0.1706946710373577,-0.13169595211586738,0.22484149248937174,-0.17862755200088976,0.05039210016478772,0.3361382459325111,0.17173771655631975,-0.33364520916905416,0.20945421183594898,-0.3715152163305098,-0.33724307183960167,-0.00746757716959017,0.0009728701444295828,-0.0006530268617669272,0.0002536317128349041,0.00036069721147830936
import_china_frac,-0.02374948730903384,-0.05286088124038022,-0.1571699006013247,0.366087755383757,-0.03811720993044031,-0.18275853682246815,0.5502314317825584,-0.17282533725164267,-0.015090625634013663,0.0014356673577780854,0.42942251111083435,0.21947150055085476,0.03392250380323086,0.06381990790919312,-0.056286130701691334,-0.032792025343428455,0.12260352985817499,-0.1273925933166297,0.4367824467518523,0.07785878686413958,-0.008452714544707727,0.0009826401977595797,2.639173878181771e-05,0.0002098038551719494
import_high_risk_frac,0.0028674250262343925,-0.08382339240726004,-0.282186052915683,0.4755636308860086,0.10467829067494194,0.1280233192556842,0.10664352920651667,-0.016396969668438094,0.07213850892914879,-0.05174491614624594,-0.11989500119090725,-0.03911896056507803,-0.05034625354265083,0.18617293492874573,0.2104101563737087,0.32433471327609437,-0.44408157916083585,-0.09512390448658485,-0.2494042003395464,-0.4111901553298722,0.014224413322175538,0.0003084526577347523,0.0002566490443017327,-0.00010559790992153127
import_oecd_frac,0.13113808665818466,0.43556088460745856,-0.05073179830642701,-0.031936544271990566,-0.028402269126512742,-0.10807408919141642,-0.0881096537424402,-0.3579381694013171,-0.11771797950895709,0.14948311725264193,-0.006975074228771446,0.02459031739761165,-0.31374236809698786,0.062082094282655285,0.08763635080477733,0.16205544960703913,-0.34898270545832466,-0.25572637438708307,-0.05218953293792633,0.5270850220998005,-0.017122067264611324,-0.0009648097900373842,-0.00425753860438448,-3.2180477914263855e-05
import_hhi,0.06833913843297092,0.2112419766807098,-0.29144014095518195,0.38771700880452986,0.06975328859303792,0.015105892554532853,0.08523991349069394,-0.15885969892304375,-0.08186329575462001,0.20619267308634873,-0.1300303504231809,-0.12956912149272326,-0.1788064327820923,-0.26951636871847257,-0.26512356503915574,-0.22299980926608784,0.3617470009094925,0.2993143875567588,-0.3859561042295199,0.02932664377727637,0.005201922027470692,0.0006833740314259367,0.002402936953208136,-0.00018957851548550135
