Technology,Material,n,Distribution,Mean,CV (observed),CV (fitted),CV (inflated),Inflation factor,Low-N (<5)
CIGS,Copper,13,lognormal,1805.2,1.7,12.592,14.529,1.15,No
onshore wind,Nickel,13,lognormal,249.8,0.567,0.665,0.768,1.15,No
Solar Distributed,Silicon,15,lognormal,4633.5,0.554,5.411,6.133,1.13,No
onshore wind,Praseodymium,15,lognormal,18.4,1.315,2.604,2.951,1.13,No
utility-scale solar pv,Silicon,15,lognormal,4633.5,0.554,5.411,6.133,1.13,No
a-Si,Germanium,16,lognormal,43.5,0.581,1.205,1.356,1.12,No
onshore wind,Terbium,16,lognormal,7.2,1.173,2.041,2.296,1.12,No
offshore wind,Dysprosium,18,lognormal,17.6,0.447,0.642,0.713,1.11,No
offshore wind,Aluminum,20,lognormal,1973.4,1.129,1.336,1.47,1.1,No
offshore wind,Steel,20,lognormal,302454.8,0.722,0.617,0.679,1.1,No
Solar Distributed,Silver,30,lognormal,33.6,0.686,0.904,0.964,1.07,No
utility-scale solar pv,Silver,30,lognormal,33.6,0.686,0.904,0.964,1.07,No
CIGS,Selenium,36,lognormal,62.6,0.765,0.881,0.93,1.06,No
onshore wind,Aluminum,38,lognormal,2005.1,1.147,1.43,1.506,1.05,No
CdTe,Cadmium,40,lognormal,81.6,0.635,0.839,0.881,1.05,No
CIGS,Gallium,41,lognormal,12.5,2.083,1.518,1.592,1.05,No
offshore wind,Neodymium,41,lognormal,148.9,0.341,0.527,0.553,1.05,No
onshore wind,Dysprosium,47,lognormal,13.4,0.801,1.415,1.476,1.04,No
onshore wind,Steel,48,lognormal,122338.7,0.214,0.222,0.232,1.04,No
offshore wind,Copper,49,lognormal,5442.9,0.893,1.03,1.072,1.04,No
onshore wind,Neodymium,50,lognormal,122.9,0.656,1.349,1.403,1.04,No
CdTe,Tellurium,55,lognormal,98.9,0.785,0.77,0.798,1.04,No
CIGS,Indium,76,lognormal,1188.9,5.981,2.354,2.416,1.03,No
onshore wind,Copper,102,lognormal,3500.3,0.783,0.665,0.678,1.02,No
