Technology,Material,n,Distribution,CV (observed),CV (fitted),cv_old,cv_new,cv_diff,cv_ratio,cv_source,blend_weight,cv_reference
a-Si,Germanium,16,lognormal,0.5810,1.2050,1.3560,1.2050,-0.1510,0.8886,tech:a-Si,0.0000,1.2050
onshore wind,Terbium,16,lognormal,1.1730,2.0410,2.2960,2.0410,-0.2550,0.8889,tech:onshore wind,0.0000,1.3490
offshore wind,Dysprosium,18,lognormal,0.4470,0.6420,0.7130,0.6420,-0.0710,0.9004,tech:offshore wind,0.0000,0.6420
offshore wind,Aluminum,20,lognormal,1.1290,1.3360,1.4700,1.3360,-0.1340,0.9088,tech:offshore wind,0.0000,0.6420
offshore wind,Steel,20,lognormal,0.7220,0.6170,0.6790,0.6170,-0.0620,0.9087,tech:offshore wind,0.0000,0.6420
Solar Distributed,Silver,30,lognormal,0.6860,0.9040,0.9640,0.9040,-0.0600,0.9378,tech:Solar Distributed,0.0000,1.8040
utility-scale solar pv,Silver,30,lognormal,0.6860,0.9040,0.9640,0.9040,-0.0600,0.9378,tech:utility-scale solar pv,0.0000,1.8040
CIGS,Selenium,36,lognormal,0.7650,0.8810,0.9300,0.8810,-0.0490,0.9473,tech:CIGS,0.0000,1.9360
onshore wind,Aluminum,38,lognormal,1.1470,1.4300,1.5060,1.4300,-0.0760,0.9495,tech:onshore wind,0.0000,1.3490
CdTe,Cadmium,40,lognormal,0.6350,0.8390,0.8810,0.8390,-0.0420,0.9523,tech:CdTe,0.0000,0.8045
CIGS,Gallium,41,lognormal,2.0830,1.5180,1.5920,1.5180,-0.0740,0.9535,tech:CIGS,0.0000,1.9360
offshore wind,Neodymium,41,lognormal,0.3410,0.5270,0.5530,0.5270,-0.0260,0.9530,tech:offshore wind,0.0000,0.6420
onshore wind,Dysprosium,47,lognormal,0.8010,1.4150,1.4760,1.4150,-0.0610,0.9587,tech:onshore wind,0.0000,1.3490
onshore wind,Steel,48,lognormal,0.2140,0.2220,0.2320,0.2220,-0.0100,0.9569,tech:onshore wind,0.0000,1.3490
offshore wind,Copper,49,lognormal,0.8930,1.0300,1.0720,1.0300,-0.0420,0.9608,tech:offshore wind,0.0000,0.6420
onshore wind,Neodymium,50,lognormal,0.6560,1.3490,1.4030,1.3490,-0.0540,0.9615,tech:onshore wind,0.0000,1.3490
CdTe,Tellurium,55,lognormal,0.7850,0.7700,0.7980,0.7700,-0.0280,0.9649,tech:CdTe,0.0000,0.8045
CIGS,Indium,76,lognormal,5.9810,2.3540,2.4160,2.3540,-0.0620,0.9743,tech:CIGS,0.0000,1.9360
onshore wind,Copper,102,lognormal,0.7830,0.6650,0.6780,0.6650,-0.0130,0.9808,tech:onshore wind,0.0000,1.3490
