technology,material,n_samples,mean,std,median,q25,q75,min,max,use_parametric,recommendation,best_distribution,ks_statistic,ks_pvalue,ad_statistic,aic,bic,param_s,param_loc,param_scale
NGGT,Nickel,3,0.009666666666666667,0.0015275252316519464,0.01,0.009000000000000001,0.010499999999999999,0.008,0.011,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.134 → 0.881, median preserved: 0.01)",lognormal,0.29191500645886853,0.9056901246246456,0.31769770988294654,-25.457044942349498,-28.16120807634517,0.7577901535924403,0,0.01
NGGT,Steel,2,41.08,14.212846301849606,41.08,36.055,46.105000000000004,31.03,51.13,True,"CV borrowed from median of n>5 pairs (n=2, CV: 0.254 → 0.881, median preserved: 41.08)",lognormal,0.34134474606854315,0.933249098925387,0.3592829820796135,20.864561186621106,16.94400272830094,0.7577901535924403,0,41.08
Nuclear New,Aluminum,4,0.0375,0.015588457268119896,0.039,0.02925,0.04725,0.018,0.054,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.436 → 0.881, median preserved: 0.04)",lognormal,0.23419807604222254,0.9454001850462407,0.3006556059172585,-16.537540877100966,-18.378657793741294,0.7577901535924403,0,0.039
Nuclear New,Cement,9,36.852888888888884,15.767423508966552,30.4,22.872,51.125,19.6,61.42,True,"Forced lognormal distribution (n=9, KS p=0.8998, AIC=78.82)",lognormal,0.1760608566528803,0.8998182669052098,0.36797219552382643,78.8209794912649,79.41265322327355,0.4074638083424372,0,33.9359390794688
Nuclear New,Copper,5,1.2917999999999998,0.5020893346805925,1.345,0.907,1.481,0.726,2.0,True,"Forced lognormal distribution (n=5, KS p=0.9387, AIC=11.91)",lognormal,0.21309398023576065,0.9386764586044447,0.23847520819041979,11.906073365300841,10.73438710260314,0.3601555261109438,0,1.212747112484283
Nuclear New,Manganese,4,0.343,0.11371015785759865,0.348,0.27425,0.41675,0.209,0.467,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.315 → 0.881, median preserved: 0.35)",lognormal,0.24116841714388426,0.9300667821471497,0.2542936557832389,-1.0076215428929203,-2.848738459533249,0.7577901535924403,0,0.348
Nuclear New,Nickel,5,0.20140000000000002,0.18663011546907426,0.1,0.074,0.3,0.049,0.484,True,"Forced lognormal distribution (n=5, KS p=0.8461, AIC=-0.96)",lognormal,0.2495305795269097,0.8460503592545771,0.33107548778995977,-0.96433297774845,-2.1360192404461493,0.8650213037571758,0,0.13940517091707857
Nuclear New,Silver,3,0.001,0.0,0.001,0.001,0.001,0.001,0.001,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.010 → 0.881, median preserved: 0.00)",lognormal,0.0,1.0,0.0,999999.0,999999.0,0.7577901535924403,0,0.001
Nuclear New,Steel,6,31.983666666666668,18.621896516377344,39.637,16.517,44.417249999999996,7.407,50.4,True,"Forced lognormal distribution (n=6, KS p=0.3870, AIC=58.69)",lognormal,0.34391179825838986,0.3870021575318907,0.7808207587984226,58.69483417995663,58.07011258764079,0.7729458025273044,0,25.275713512316848
Solar Distributed,Aluminum,4,21.86325,11.721936796024794,19.0,16.98825,23.875,10.953,38.5,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.469 → 0.881, median preserved: 19.00)",lognormal,0.2846957427364023,0.8166166908617142,0.343266071379583,34.76059692301309,32.91948000637276,0.7577901535924403,0,19.0
Solar Distributed,Cement,6,7.705166666666667,2.193008291517993,7.1475,6.5665,9.44,4.847,10.512,True,"Forced lognormal distribution (n=6, KS p=0.9159, AIC=31.20)",lognormal,0.20678203442870557,0.9158717860973838,0.2890028269312639,31.195386503052845,30.57066491073701,0.2653817887409528,0,7.44291658628011
Solar Distributed,Copper,11,2.614181818181818,3.0072377298172426,0.884,0.6415,4.8705,0.25,7.53,True,"Forced lognormal distribution (n=11, KS p=0.4561, AIC=47.25)",lognormal,0.24430634283885716,0.4560740403131238,0.6120481918086753,47.25349681454532,48.44718263294043,1.2034668366390653,0,1.3112934163170133
