technology,material,n_samples,mean,std,median,q25,q75,min,max,use_parametric,recommendation,best_distribution,ks_statistic,ks_pvalue,ad_statistic,aic,bic,param_loc,param_scale,param_min,param_max,param_a,param_s
a-Si,Cement,4,7.4135,2.3527748865258373,7.1475,6.293,8.268,4.847,10.512,True,"Using gamma distribution (n=4, KS p=0.0324). Best AIC rejected: lognormal: Lognormal shape s=15.50 > 3.0",gamma,0.6559522813672607,0.03238759008161741,4.278017123535571,-21.98538018756341,-23.82649710420374,4.8469999999999995,2.712760873515248,,,0.22326909087647726,
a-Si,Chromium,1,0.634,0.0,0.634,0.634,0.634,0.634,0.634,True,Single data point - using narrow uniform distribution around 0.634,uniform,0.0,1.0,0.0,0.0,0.0,0.5706,0.12680000000000002,0.5706,0.6974,,
a-Si,Copper,5,4.5271,3.6485563309341957,7.0,1.005,7.0,0.1005,7.53,True,"Using uniform distribution (n=5, KS p=0.0787). Best AIC rejected: lognormal: Lognormal shape s=16.12 > 3.0",uniform,0.5286627633084325,0.07874594242747948,10.05774594346433,24.05458561714265,23.27346144201085,0.1005,7.4295,0.1005,7.53,,
a-Si,Germanium,16,0.0435,0.02526106358278157,0.042,0.030699999999999998,0.073,0.0034,0.073,True,"Using uniform distribution (n=16, KS p=0.0692, AIC=-81.28)",uniform,0.3125,0.06919162165188275,33.82608172625679,-81.27970277253642,-79.73452532805686,0.0034,0.0696,0.0034,0.073,,
a-Si,Glass,3,63.36666666666667,8.787680771018788,66.7,60.05,68.35,53.4,70.0,True,"Using uniform distribution (n=3, KS p=0.4120). Best AIC rejected: lognormal: Lognormal shape s=16.63 > 3.0",uniform,0.4678714859437753,0.4120308591991224,14.187686146405039,20.85641617217499,19.053640749511207,53.4,16.6,53.4,70.0,,
a-Si,Indium,4,0.0070125,0.004310153709556076,0.00532,0.00499,0.0073425,0.004,0.01341,True,"Using gamma distribution (n=4, KS p=0.4464). Best AIC rejected: lognormal: Lognormal shape s=15.44 > 3.0",gamma,0.39716901858043985,0.44644283115982875,5.809008575552122,-55.25170972403028,-57.09282664067061,0.003999999999999999,0.0022339946940404132,,,0.6289215327700994,
a-Si,Molybdenum,1,0.01062,0.0,0.01062,0.01062,0.01062,0.01062,0.01062,True,Single data point - using narrow uniform distribution around 0.011,uniform,0.0,1.0,0.0,0.0,0.0,0.009557999999999999,0.002124000000000001,0.009557999999999999,0.011682,,
a-Si,Nickel,1,0.334,0.0,0.334,0.334,0.334,0.334,0.334,True,Single data point - using narrow uniform distribution around 0.334,uniform,0.0,1.0,0.0,0.0,0.0,0.30060000000000003,0.06680000000000003,0.30060000000000003,0.36740000000000006,,
a-Si,Silicon,1,0.15,0.0,0.15,0.15,0.15,0.15,0.15,True,Single data point - using narrow uniform distribution around 0.150,uniform,0.0,1.0,0.0,0.0,0.0,0.135,0.03,0.135,0.165,,
a-Si,Steel,2,55.95,0.07071067811865576,55.95,55.925,55.975,55.9,56.0,True,"Using uniform distribution (n=2, KS p=0.5000). Best AIC rejected: lognormal: Lognormal shape s=15.14 > 3.0",uniform,0.5,0.5,21.025850888870277,-5.210340371976127,-7.824046010856236,55.9,0.10000000000000142,55.9,56.0,,
