Technology,Material,n,Distribution,Mean,Median,Std (observed),CV (observed),IQR,p2.5,p97.5,95% CI width (observed),Std (fitted),CV (fitted),95% CI width (fitted),CI width / mean,Inflation factor,Std (inflated),CV (inflated),95% CI width (inflated),Low-N (<5)
NGCC,Steel,2,lognormal,41080.0,41080.0,14212.846301849606,0.34597970549779955,10050.0,31532.5,50627.5,19095.0,10423.350193420012,0.25365210852552045,40564.081220525346,0.9871264556075264,2.5,26058.37548355003,0.6341302713138011,101410.20305131336,Yes
NGGT,Aluminum,2,lognormal,217.0,217.0,18.384776310850235,0.08472247147857251,13.0,204.65,229.35,24.69999999999999,13.027314586767105,0.060033643086683526,51.04590710061632,0.23523434146798267,2.5,32.56828646691776,0.15008410771670883,127.6147677515408,Yes
NGGT,Steel,2,lognormal,41080.0,41080.0,14212.846301849606,0.34597970549779955,10050.0,31532.5,50627.5,19095.0,10423.350193420012,0.25365210852552045,40564.081220525346,0.9871264556075264,2.5,26058.37548355003,0.6341302713138011,101410.20305131336,Yes
Solar Distributed,Steel,2,lognormal,55950.0,55950.0,70.71067811865476,0.0012638190905925784,50.0,55902.5,55997.5,95.0,50.0000232925079,0.0008936554654603253,195.99647258139157,0.003503064746762842,2.5,125.00005823126975,0.0022341386636508132,489.99118145347893,Yes
a-Si,Copper,2,lognormal,552.75,552.75,639.5780835832322,1.1570838237598051,452.25,123.1125,982.3874999999999,859.275,1025.0757095879796,1.6625194854514376,3001.64557761946,4.86822018562638,2.5,2562.689273969949,4.156298713628594,7504.1139440486495,Yes
a-Si,Tin,2,lognormal,71.962,71.962,100.75988789195829,1.4001818722653383,71.24800000000002,4.276400000000001,139.6476,135.37120000000002,11372.054899119743,33.527798796718244,1823.9402272359282,5.377453898920264,2.5,28430.137247799357,83.8194969917956,4559.850568089821,Yes
offshore wind,Vanadium,2,lognormal,7000.0,7000.0,0.0,0.0,0.0,7000.0,7000.0,0.0,0.0,0.0,6.916707206983119e-09,9.881010295691773e-13,2.5,0.0,0.0,1.7291768017457798e-08,Yes
onshore wind,Lead,2,lognormal,6720.0,6720.0,0.0,0.0,0.0,6720.0,6720.0,0.0,0.0,0.0,4.019966581836343e-10,5.982093127732716e-14,2.5,0.0,0.0,1.0049916454590857e-09,Yes
onshore wind,Vanadium,2,lognormal,90.2,90.2,0.28284271247462306,0.003135728519674313,0.20000000000001705,90.01,90.39,0.37999999999999545,0.20000057358129894,0.0022173012592117073,0.7839874191683975,0.008691656531782905,2.5,0.5000014339532474,0.005543253148029268,1.9599685479209938,Yes
onshore wind,Yttrium,2,lognormal,1.225,1.225,1.0960155108391487,0.8947065394605295,0.775,0.48875,1.96125,1.4725,1.0807793818147948,0.8626324338272305,3.8724071202987598,3.0907917334100725,2.5,2.701948454536987,2.156581084568076,9.681017800746899,Yes
onshore wind,Zinc,2,lognormal,5500.0,5500.0,0.0,0.0,0.0,5500.0,5500.0,0.0,0.0,0.0,7.450580596923828e-08,1.3546510176214793e-11,2.5,0.0,0.0,1.862645149230957e-07,Yes
utility-scale solar pv,Steel,2,lognormal,55950.0,55950.0,70.71067811865476,0.0012638190905925784,50.0,55902.5,55997.5,95.0,50.0000232925079,0.0008936554654603253,195.99647258139157,0.003503064746762842,2.5,125.00005823126975,0.0022341386636508132,489.99118145347893,Yes
ASIGE,Aluminum,3,lognormal,20693.333333333332,15390.0,9185.642782806946,0.4438938200454388,7955.0,15390.0,30504.5,15114.5,7098.87257668407,0.34424188669224065,27452.445140598087,1.331236954520602,2.0,14197.74515336814,0.6884837733844813,54904.890281196174,Yes
ASIGE,Copper,3,lognormal,7176.666666666667,7000.0,305.9956426705017,0.04263757213244334,265.0,7000.0,7503.5,503.5,246.98807293022435,0.034415592603032265,968.0495358535709,0.13488909828817097,2.0,493.9761458604487,0.06883118520606453,1936.0990717071418,Yes
ASIGE,Glass,3,lognormal,63366.666666666664,66700.0,8787.680771018788,0.13867986487667736,8300.0,54065.0,69835.0,15770.0,7497.0372796021375,0.11829068557329675,29342.47851132848,0.46297514205624635,2.0,14994.074559204275,0.2365813711465935,58684.95702265696,Yes
Bio CCS,Copper,3,lognormal,596.6666666666666,600.0,50.083264004389065,0.08393843129227219,50.0,547.75,642.75,95.0,41.22200945023427,0.06908642271798043,161.5025056011641,0.2706716756601883,2.0,82.44401890046854,0.13817284543596087,323.0050112023282,Yes
Bio CCS,Manganese,3,lognormal,145.0,124.0,47.148700936505136,0.3251634547345182,43.5,112.6,195.25,82.65,36.84222207340759,0.2544258844923164,143.37073155180605,0.9900929730215069,2.0,73.68444414681518,0.5088517689846328,286.7414631036121,Yes
Bio CCS,Nickel,3,lognormal,9.666666666666666,10.0,1.5275252316519468,0.1580198515502014,1.5,8.1,10.95,2.8499999999999996,1.2960744186586135,0.13405046533592127,5.070432036599955,0.5244249590728314,2.0,2.592148837317227,0.26810093067184254,10.14086407319991,Yes
Biomass,Manganese,3,lognormal,145.0,124.0,47.148700936505136,0.3251634547345182,43.5,112.6,195.25,82.65,36.84222207340759,0.2544258844923164,143.37073155180605,0.9900929730215069,2.0,73.68444414681518,0.5088517689846328,286.7414631036121,Yes
Biomass,Nickel,3,lognormal,9.666666666666666,10.0,1.5275252316519468,0.1580198515502014,1.5,8.1,10.95,2.8499999999999996,1.2960744186586135,0.13405046533592127,5.070432036599955,0.5244249590728314,2.0,2.592148837317227,0.26810093067184254,10.14086407319991,Yes
CDTE,Aluminum,3,lognormal,20693.333333333332,15390.0,9185.642782806946,0.4438938200454388,7955.0,15390.0,30504.5,15114.5,7098.87257668407,0.34424188669224065,27452.445140598087,1.331236954520602,2.0,14197.74515336814,0.6884837733844813,54904.890281196174,Yes
CDTE,Copper,3,lognormal,7176.666666666667,7000.0,305.9956426705017,0.04263757213244334,265.0,7000.0,7503.5,503.5,246.98807293022435,0.034415592603032265,968.0495358535709,0.13488909828817097,2.0,493.9761458604487,0.06883118520606453,1936.0990717071418,Yes
CDTE,Glass,3,lognormal,63366.666666666664,66700.0,8787.680771018788,0.13867986487667736,8300.0,54065.0,69835.0,15770.0,7497.0372796021375,0.11829068557329675,29342.47851132848,0.46297514205624635,2.0,14994.074559204275,0.2365813711465935,58684.95702265696,Yes
CIGS,Aluminum,3,lognormal,20693.333333333332,15390.0,9185.642782806946,0.4438938200454388,7955.0,15390.0,30504.5,15114.5,7098.87257668407,0.34424188669224065,27452.445140598087,1.331236954520602,2.0,14197.74515336814,0.6884837733844813,54904.890281196174,Yes
